,highly_variable,means,dispersions,dispersions_norm
Xkr4,False,9.999999999995e-13,,
Gm1992,False,9.999999999995e-13,,
Gm37381,False,0.08811688689625666,4.694692491944518,-0.8080228
Rp1,False,9.999999999995e-13,,
Rp1-1,False,9.999999999995e-13,,
Sox17,False,9.999999999995e-13,,
Gm37323,False,9.999999999995e-13,,
Mrpl15,False,4.452512843134084,5.1655396049185285,-0.8697664
Lypla1,False,4.614832786166474,5.1925216729182475,-0.7516457
Gm37988,False,0.2519912525592277,5.250063609284539,0.5046978
Tcea1,False,4.670773983645584,5.25817470255609,-0.46423313
Rgs20,False,9.999999999995e-13,,
Gm16041,False,0.6628443663520528,5.167720829804729,-0.36056295
Atp6v1h,False,4.10831686676949,5.27485306165031,-0.3254888
Oprk1,False,9.999999999995e-13,,
Npbwr1,False,9.999999999995e-13,,
Rb1cc1,False,3.93631760491157,5.413191058158852,0.52513117
4732440D04Rik,False,2.1958910909682383,5.199340697905265,-0.52404547
Fam150a,False,9.999999999995e-13,,
St18,False,9.999999999995e-13,,
Pcmtd1,True,3.868679480022404,5.42428769513051,0.773997
Gm26901,True,0.21512678088256637,5.357460017357543,0.75854874
Gm30414,False,9.999999999995e-13,,
Sntg1,False,9.999999999995e-13,,
Rrs1,False,2.986075137619083,5.194778963808724,-0.8145847
Adhfe1,False,0.2551608193853964,5.084412297981669,0.113150805
3110035E14Rik,False,9.999999999995e-13,,
Gm29520,False,9.999999999995e-13,,
Mybl1,False,0.1660450922886286,5.118979428446905,0.1948565
Vcpip1,False,3.5600495475244505,5.346846740327659,0.2265874
1700034P13Rik,False,0.26302861392496746,5.181804577902338,0.34335515
Sgk3,False,1.8848705054228232,5.270126921577991,0.016726717
Mcmdc2,False,0.719442465188125,5.180793270018884,-0.31806055
Snhg6,False,4.438537400270426,5.346277705248735,-0.07854021
Tcf24,False,9.999999999995e-13,,
Ppp1r42,False,9.999999999995e-13,,
Gm15818,False,9.999999999995e-13,,
Cops5,False,4.128933240277198,5.231718984286178,-0.5907139
Cspp1,True,3.928213384150631,5.433251091368898,0.8373569
Arfgef1,False,3.594437647799461,5.303357745021088,-0.080824815
Cpa6,False,0.49382525834458574,5.151192824788695,-0.41430038
Prex2,False,0.2593142441653084,4.9870510390161025,-0.11698023
A830018L16Rik,False,0.14145012285531125,4.76812603856361,-0.6344493
Gm17644,False,9.999999999995e-13,,
Gm29663,False,9.999999999995e-13,,
Sulf1,False,9.999999999995e-13,,
Slco5a1,False,0.058038607663337224,4.889125726674633,-0.34844452
Gm29283,False,9.999999999995e-13,,
Prdm14,True,0.09967293958425057,5.451002237844032,0.97965276
Ncoa2,False,3.913466719454681,5.362746211177728,0.33897656
Gm29570,False,0.08287728060227711,5.257943419095553,0.5233232
Tram1,False,5.3277115671644975,5.3684903970888165,-0.2102489
Lactb2,False,2.9296109152121863,5.2029856787775834,-0.42407322
Xkr9,False,0.1501219595170256,5.3018200449968695,0.62703353
Eya1,False,9.999999999995e-13,,
Gm9947,False,9.999999999995e-13,,
Msc,False,0.01941973798041161,3.774873188032865,-2.982183
Trpa1,False,9.999999999995e-13,,
Kcnb2,False,9.999999999995e-13,,
Terf1,False,3.6194418616472834,5.402693020301632,0.62135
Sbspon,False,9.999999999995e-13,,
4930444P10Rik,False,0.07059372339476873,5.091303369588012,0.1294391
Rpl7,False,7.827688698119754,5.614629433178797,-0.82077664
Rdh10,False,1.2321665782231583,5.407938821121829,0.48272023
Gm28095,False,9.999999999995e-13,,
Stau2,False,0.327520289557082,4.826185430172916,-0.49721536
Gm7568,False,9.999999999995e-13,,
Ube2w,False,3.359332315486265,5.258551538492649,-0.32981864
Tceb1,False,5.220541586163797,5.315481089334526,-0.38346294
D030040B21Rik,False,9.999999999995e-13,,
Tmem70,False,3.648583330466232,5.1648356862143014,-1.0600007
Ly96,False,3.31198434275409,5.388218466359024,0.6558422
Gm28376,False,9.999999999995e-13,,
Jph1,False,9.999999999995e-13,,
Gm28783,False,9.999999999995e-13,,
Gdap1,False,9.999999999995e-13,,
Gm28784,False,9.999999999995e-13,,
Pi15,True,0.15269720324648978,5.461622708082348,1.0047562
Gm28154,False,9.999999999995e-13,,
Gm16070,False,9.999999999995e-13,,
Crispld1,False,9.999999999995e-13,,
Gm28153,False,9.999999999995e-13,,
Crisp4,False,9.999999999995e-13,,
Defb18,False,9.999999999995e-13,,
Defb41,False,9.999999999995e-13,,
Gm29006,False,9.999999999995e-13,,
Gm15825,False,9.999999999995e-13,,
Tfap2d,False,9.999999999995e-13,,
Tfap2b,False,0.03640222185119502,4.4117437713522865,-1.4768236
Gm28340,False,9.999999999995e-13,,
Pkhd1,False,9.999999999995e-13,,
4930486I03Rik,False,9.999999999995e-13,,
Gm28653,False,9.999999999995e-13,,
Il17a,False,9.999999999995e-13,,
Il17f,False,0.11491363542964238,4.909069977571023,-0.30130264
Mcm3,True,4.1032301970136995,5.782746400950861,2.7974727
Gm28065,False,9.999999999995e-13,,
6720483E21Rik,False,9.999999999995e-13,,
Paqr8,True,0.41537847922852983,5.930524470711491,2.1130908
Efhc1,False,9.999999999995e-13,,
