,highly_variable,means,dispersions,dispersions_norm
Mrpl15,False,4.290616997983728,5.893085988741949,-0.54966193
Lypla1,False,4.4021426372332995,5.888394437114905,-0.5709572
Tcea1,False,4.576231507696645,6.0070343143712455,-0.032442983
Atp6v1h,False,3.9194768028680107,5.991584469918378,-0.11700086
Rb1cc1,False,3.870632628973546,5.931024359422193,-0.44615734
4732440D04Rik,False,2.124390917358263,6.023991040288504,-0.0069181602
Pcmtd1,False,4.024531023649181,5.977601490808938,-0.1930012
Rrs1,False,2.9186148652028336,5.868591924031679,-0.73001236
Vcpip1,False,3.492848239027546,5.875347796656232,-0.61142635
Sgk3,False,1.7337678897753306,5.946366391034603,-0.283361
Snhg6,False,4.177946320702741,6.102312796076884,0.48483002
Cops5,False,4.203765463470353,5.9192794334366265,-0.43076816
Cspp1,False,3.2788366837260012,6.008383206358634,-0.05036402
Arfgef1,False,3.905467258195674,6.0674480680455884,0.29533315
Ncoa2,False,3.9885002145291906,5.935986206363935,-0.41918868
Tram1,False,5.4648646396388845,5.95004426129564,-0.4982238
Lactb2,False,2.4209952792880793,5.881068119061386,-0.654753
Terf1,True,3.838666988831947,6.152783467422995,0.7591483
Rpl7,False,7.3408148512798945,6.248732343117497,-0.2784499
Rdh10,True,2.2270689495384266,6.222724300271639,0.8938914
Stau2,True,0.49487617371132847,5.983893386042811,1.7208527
Ube2w,False,3.1885893094331124,5.876339861413406,-0.60724247
Tceb1,False,5.102119379777389,5.922790505711524,-0.6731946
Tmem70,False,3.3773170017358662,5.905425964096046,-0.48457497
Ly96,False,2.4146889369636115,5.840966323265028,-0.8365247
Mcm3,True,3.8589508456316746,6.452831378706925,2.3899696
Paqr8,True,1.3482948268366437,6.508930264205464,1.8282567
Tram2,False,0.8665273164212086,5.801855801421194,-0.18632081
Tmem14a,False,1.9062272693602023,6.084944133836572,0.27218336
Gm28836,False,0.6625514897004673,5.755631624134076,-0.3544002
Ogfrl1,False,0.4450841837209659,5.162638794189609,-0.73898304
Smap1,False,3.438505226568043,5.965948531246794,-0.22932763
Sdhaf4,False,4.201930261331655,5.831355518991812,-0.8298606
Fam135a,False,0.8146762188729525,5.9714853427165915,0.43048254
Lmbrd1,False,3.485874101998099,5.970029074128557,-0.2121184
Phf3,False,3.6541624851114225,5.953042045798121,-0.28375933
